postal_code,borough,neighborhood,latitude,longitude,population
34984,Port Saint Lucie,Bayshore Heights,27.283644,-80.352689,5511
34953,Port Saint Lucie,Becker Ridge,27.217007,-80.347301,4006
34984,Port Saint Lucie,Canal Pointe,27.26842,-80.341988,5238
34953,Port Saint Lucie,Cashmere Cove,27.282422,-80.369722,5560
34953,Port Saint Lucie,Crane Landing,27.218948,-80.363763,3705
34987,Port Saint Lucie,Fairgreen Crossings,27.287849,-80.427811,1093
34983,Port Saint Lucie,Floresta Gardens,27.291672,-80.331663,5290
34983,Port Saint Lucie,Floresta Pointe,27.308818,-80.336941,4265
34953,Port Saint Lucie,Gatlin Pines,27.249939,-80.388832,7760
34953,Port Saint Lucie,Hidden Oaks,27.26893,-80.395535,8089
34952,Port Saint Lucie,Lyngate/Morningside,27.284984,-80.307629,6074
34953,Port Saint Lucie,Newport Isles,27.259622,-80.407889,961
34983,Port Saint Lucie,Northport Village,27.326677,-80.356606,8762
34953,Port Saint Lucie,Oak Hammock,27.281209,-80.401751,4307
34953,Port Saint Lucie,Paar Estates/Sawgrass Lakes,27.234397,-80.352078,6694
34953,Port Saint Lucie,Palm Trails,27.28226,-80.384285,5511
34983,Port Saint Lucie,Riverview,27.313117,-80.330624,6324
34953,Port Saint Lucie,Rosser Reserve,27.239099,-80.390076,9352
34983,Port Saint Lucie,Saint Lucie North,27.357031,-80.362624,6970
34986,Port Saint Lucie,Saint Lucie West,27.318246,-80.39347,13499
34952,Port Saint Lucie,Sandhill Crossing,27.286319,-80.276296,18277
34952,Port Saint Lucie,Sandpiper Bay,27.258969,-80.301233,6519
34984,Port Saint Lucie,Southbend Lakes,27.23587,-80.329651,4326
34983,Port Saint Lucie,Swan Park,27.306317,-80.359675,6832
34986,Port Saint Lucie,Torino,27.354523,-80.392639,8891
34987,Port Saint Lucie,Tradition,27.264564,-80.437758,5558
34953,Port Saint Lucie,Tulip Park,27.234873,-80.367095,4128
34953,Port Saint Lucie,Whispering Pines,27.256812,-80.362874,4880
34953,Port Saint Lucie,Woodland Trails,27.215739,-80.383689,5238
